
> 9898-mtg-chaos-rpg-2026@1.0.0 phaser
> npx serve . -l 3000

 INFO  Accepting connections at http://localhost:3000
 HTTP  4/9/2026 10:28:23 AM 127.0.0.1 GET /src/scenes/index.html
 HTTP  4/9/2026 10:28:23 AM 127.0.0.1 Returned 301 in 7 ms
 HTTP  4/9/2026 10:28:23 AM 127.0.0.1 GET /src/scenes/index
 HTTP  4/9/2026 10:28:23 AM 127.0.0.1 Returned 301 in 0 ms
 HTTP  4/9/2026 10:28:23 AM 127.0.0.1 GET /src/scenes
 HTTP  4/9/2026 10:28:23 AM 127.0.0.1 Returned 200 in 3 ms
 HTTP  4/9/2026 10:29:16 AM ::1 GET /scenes/scene-generators
 HTTP  4/9/2026 10:29:16 AM ::1 GET /scenes
 HTTP  4/9/2026 10:29:16 AM ::1 Returned 404 in 2 ms
 HTTP  4/9/2026 10:29:16 AM ::1 Returned 404 in 1 ms
 HTTP  4/9/2026 10:29:17 AM ::1 GET /favicon.ico
 HTTP  4/9/2026 10:29:17 AM ::1 Returned 404 in 1 ms
 HTTP  4/9/2026 10:29:17 AM ::1 GET /favicon.ico
 HTTP  4/9/2026 10:29:17 AM ::1 Returned 404 in 0 ms
 HTTP  4/9/2026 10:29:43 AM ::1 GET /
 HTTP  4/9/2026 10:29:43 AM ::1 Returned 200 in 9 ms
 HTTP  4/9/2026 10:30:02 AM ::1 GET /src/
 HTTP  4/9/2026 10:30:02 AM ::1 Returned 200 in 2 ms
 HTTP  4/9/2026 10:30:02 AM ::1 GET /src/styles/style.css
 HTTP  4/9/2026 10:30:02 AM ::1 Returned 200 in 1 ms
 HTTP  4/9/2026 10:30:05 AM ::1 GET /src/scenes/index.html
 HTTP  4/9/2026 10:30:05 AM ::1 Returned 301 in 0 ms
 HTTP  4/9/2026 10:30:05 AM ::1 GET /src/scenes/index
 HTTP  4/9/2026 10:30:05 AM ::1 Returned 301 in 1 ms
 HTTP  4/9/2026 10:30:05 AM ::1 GET /src/scenes
 HTTP  4/9/2026 10:30:05 AM ::1 Returned 200 in 0 ms
 HTTP  4/9/2026 10:30:05 AM ::1 GET /styles/style.css
 HTTP  4/9/2026 10:30:05 AM ::1 Returned 404 in 1 ms
 HTTP  4/9/2026 10:30:05 AM ::1 GET /lib/world-data.js
 HTTP  4/9/2026 10:30:05 AM ::1 GET /modules/phaser-chaos-module.js
 HTTP  4/9/2026 10:30:05 AM ::1 GET /scripts/game.js
 HTTP  4/9/2026 10:30:05 AM ::1 GET /modules/runtime-bridge.js
 HTTP  4/9/2026 10:30:05 AM ::1 GET /scripts/phaser-root-game.js
 HTTP  4/9/2026 10:30:05 AM ::1 GET /scripts/log-window.js
 HTTP  4/9/2026 10:30:05 AM ::1 Returned 404 in 1 ms
 HTTP  4/9/2026 10:30:05 AM ::1 Returned 404 in 1 ms
 HTTP  4/9/2026 10:30:05 AM ::1 Returned 404 in 3 ms
 HTTP  4/9/2026 10:30:05 AM ::1 Returned 404 in 2 ms
 HTTP  4/9/2026 10:30:05 AM ::1 Returned 404 in 2 ms
 HTTP  4/9/2026 10:30:05 AM ::1 Returned 404 in 1 ms
 HTTP  4/9/2026 10:30:11 AM ::1 GET /src/scenes
 HTTP  4/9/2026 10:30:11 AM ::1 Returned 304 in 1 ms
 HTTP  4/9/2026 10:30:11 AM ::1 GET /styles/style.css
 HTTP  4/9/2026 10:30:11 AM ::1 Returned 404 in 1 ms
 HTTP  4/9/2026 10:30:11 AM ::1 GET /lib/world-data.js
 HTTP  4/9/2026 10:30:11 AM ::1 GET /modules/phaser-chaos-module.js
 HTTP  4/9/2026 10:30:11 AM ::1 GET /scripts/game.js
 HTTP  4/9/2026 10:30:11 AM ::1 GET /modules/runtime-bridge.js
 HTTP  4/9/2026 10:30:11 AM ::1 GET /scripts/phaser-root-game.js
 HTTP  4/9/2026 10:30:11 AM ::1 GET /scripts/log-window.js
 HTTP  4/9/2026 10:30:11 AM ::1 Returned 404 in 2 ms
 HTTP  4/9/2026 10:30:11 AM ::1 Returned 404 in 2 ms
 HTTP  4/9/2026 10:30:11 AM ::1 Returned 404 in 2 ms
 HTTP  4/9/2026 10:30:11 AM ::1 Returned 404 in 2 ms
 HTTP  4/9/2026 10:30:11 AM ::1 Returned 404 in 2 ms
 HTTP  4/9/2026 10:30:11 AM ::1 Returned 404 in 1 ms
 HTTP  4/9/2026 10:30:16 AM ::1 GET /src/scene-generators.html
 HTTP  4/9/2026 10:30:16 AM ::1 Returned 301 in 0 ms
 HTTP  4/9/2026 10:30:16 AM ::1 GET /src/scene-generators
 HTTP  4/9/2026 10:30:16 AM ::1 Returned 404 in 1 ms
 HTTP  4/9/2026 11:02:43 AM ::1 GET /src/scenes
 HTTP  4/9/2026 11:02:43 AM ::1 Returned 304 in 1 ms
 HTTP  4/9/2026 11:02:43 AM ::1 GET /styles/style.css
 HTTP  4/9/2026 11:02:43 AM ::1 GET /lib/world-data.js
 HTTP  4/9/2026 11:02:43 AM ::1 GET /modules/phaser-chaos-module.js
 HTTP  4/9/2026 11:02:43 AM ::1 GET /scripts/game.js
 HTTP  4/9/2026 11:02:43 AM ::1 GET /modules/runtime-bridge.js
 HTTP  4/9/2026 11:02:43 AM ::1 Returned 404 in 4 ms
 HTTP  4/9/2026 11:02:43 AM ::1 GET /scripts/phaser-root-game.js
 HTTP  4/9/2026 11:02:43 AM ::1 Returned 404 in 3 ms
 HTTP  4/9/2026 11:02:43 AM ::1 Returned 404 in 2 ms
 HTTP  4/9/2026 11:02:43 AM ::1 Returned 404 in 2 ms
 HTTP  4/9/2026 11:02:43 AM ::1 Returned 404 in 3 ms
 HTTP  4/9/2026 11:02:43 AM ::1 Returned 404 in 2 ms
 HTTP  4/9/2026 11:02:43 AM ::1 GET /scripts/log-window.js
 HTTP  4/9/2026 11:02:43 AM ::1 Returned 404 in 1 ms
 HTTP  4/9/2026 11:06:54 AM ::1 GET /src/scenes
 HTTP  4/9/2026 11:06:54 AM ::1 Returned 304 in 1 ms
 HTTP  4/9/2026 11:06:54 AM ::1 GET /styles/style.css
 HTTP  4/9/2026 11:06:54 AM ::1 GET /lib/world-data.js
 HTTP  4/9/2026 11:06:54 AM ::1 GET /modules/phaser-chaos-module.js
 HTTP  4/9/2026 11:06:54 AM ::1 GET /scripts/game.js
 HTTP  4/9/2026 11:06:54 AM ::1 GET /modules/runtime-bridge.js
 HTTP  4/9/2026 11:06:54 AM ::1 GET /scripts/phaser-root-game.js
 HTTP  4/9/2026 11:06:54 AM ::1 Returned 404 in 3 ms
 HTTP  4/9/2026 11:06:54 AM ::1 Returned 404 in 2 ms
 HTTP  4/9/2026 11:06:54 AM ::1 Returned 404 in 1 ms
 HTTP  4/9/2026 11:06:54 AM ::1 Returned 404 in 2 ms
 HTTP  4/9/2026 11:06:54 AM ::1 Returned 404 in 3 ms
 HTTP  4/9/2026 11:06:54 AM ::1 Returned 404 in 2 ms
 HTTP  4/9/2026 11:06:54 AM ::1 GET /scripts/log-window.js
 HTTP  4/9/2026 11:06:54 AM ::1 Returned 404 in 1 ms
 HTTP  4/9/2026 11:24:37 AM ::1 GET /src/scenes
 HTTP  4/9/2026 11:24:37 AM ::1 Returned 304 in 1 ms
 HTTP  4/9/2026 11:24:37 AM ::1 GET /styles/style.css
 HTTP  4/9/2026 11:24:37 AM ::1 Returned 404 in 1 ms
 HTTP  4/9/2026 11:24:37 AM ::1 GET /lib/world-data.js
 HTTP  4/9/2026 11:24:37 AM ::1 GET /modules/phaser-chaos-module.js
 HTTP  4/9/2026 11:24:37 AM ::1 GET /scripts/game.js
 HTTP  4/9/2026 11:24:37 AM ::1 GET /modules/runtime-bridge.js
 HTTP  4/9/2026 11:24:37 AM ::1 GET /scripts/phaser-root-game.js
 HTTP  4/9/2026 11:24:37 AM ::1 Returned 404 in 1 ms
 HTTP  4/9/2026 11:24:37 AM ::1 Returned 404 in 1 ms
 HTTP  4/9/2026 11:24:37 AM ::1 Returned 404 in 2 ms
 HTTP  4/9/2026 11:24:37 AM ::1 Returned 404 in 1 ms
 HTTP  4/9/2026 11:24:37 AM ::1 Returned 404 in 1 ms
 HTTP  4/9/2026 11:24:37 AM ::1 GET /scripts/log-window.js
 HTTP  4/9/2026 11:24:37 AM ::1 Returned 404 in 3 ms
 HTTP  4/9/2026 11:24:44 AM ::1 GET /
 HTTP  4/9/2026 11:24:44 AM ::1 Returned 200 in 5 ms
 HTTP  4/9/2026 11:25:03 AM ::1 GET /dist/
 HTTP  4/9/2026 11:25:03 AM ::1 Returned 200 in 1 ms
 HTTP  4/9/2026 11:25:03 AM ::1 GET /dist/styles/style.css
 HTTP  4/9/2026 11:25:03 AM ::1 Returned 200 in 1 ms
 HTTP  4/9/2026 11:25:06 AM ::1 GET /dist/scenes/index.html
 HTTP  4/9/2026 11:25:06 AM ::1 Returned 301 in 0 ms
 HTTP  4/9/2026 11:25:06 AM ::1 GET /dist/scenes/index
 HTTP  4/9/2026 11:25:06 AM ::1 Returned 301 in 1 ms
 HTTP  4/9/2026 11:25:06 AM ::1 GET /dist/scenes
 HTTP  4/9/2026 11:25:06 AM ::1 Returned 200 in 1 ms
 HTTP  4/9/2026 11:25:06 AM ::1 GET /styles/style.css
 HTTP  4/9/2026 11:25:06 AM ::1 Returned 404 in 2 ms
 HTTP  4/9/2026 11:25:06 AM ::1 GET /lib/world-data.js
 HTTP  4/9/2026 11:25:06 AM ::1 GET /modules/phaser-chaos-module.js
 HTTP  4/9/2026 11:25:06 AM ::1 GET /scripts/game.js
 HTTP  4/9/2026 11:25:06 AM ::1 GET /modules/runtime-bridge.js
 HTTP  4/9/2026 11:25:06 AM ::1 GET /scripts/phaser-root-game.js
 HTTP  4/9/2026 11:25:06 AM ::1 Returned 404 in 2 ms
 HTTP  4/9/2026 11:25:06 AM ::1 Returned 404 in 2 ms
 HTTP  4/9/2026 11:25:06 AM ::1 Returned 404 in 2 ms
 HTTP  4/9/2026 11:25:06 AM ::1 GET /scripts/log-window.js
 HTTP  4/9/2026 11:25:06 AM ::1 Returned 404 in 2 ms
 HTTP  4/9/2026 11:25:06 AM ::1 Returned 404 in 2 ms
 HTTP  4/9/2026 11:25:06 AM ::1 Returned 404 in 2 ms
 HTTP  4/9/2026 2:49:25 PM ::1 GET /
 HTTP  4/9/2026 2:49:25 PM ::1 Returned 200 in 9 ms
 HTTP  4/9/2026 2:49:30 PM ::1 GET /src/
 HTTP  4/9/2026 2:49:30 PM ::1 Returned 304 in 1 ms
 HTTP  4/9/2026 2:49:30 PM ::1 GET /src/styles/style.css
 HTTP  4/9/2026 2:49:30 PM ::1 Returned 304 in 1 ms
 HTTP  4/9/2026 2:49:33 PM ::1 GET /src/scenes
 HTTP  4/9/2026 2:49:33 PM ::1 Returned 304 in 1 ms
 HTTP  4/9/2026 2:49:33 PM ::1 GET /styles/style.css
 HTTP  4/9/2026 2:49:33 PM ::1 GET /lib/world-data.js
 HTTP  4/9/2026 2:49:33 PM ::1 GET /modules/phaser-chaos-module.js
 HTTP  4/9/2026 2:49:33 PM ::1 GET /scripts/game.js
 HTTP  4/9/2026 2:49:33 PM ::1 GET /modules/runtime-bridge.js
 HTTP  4/9/2026 2:49:33 PM ::1 GET /scripts/phaser-root-game.js
 HTTP  4/9/2026 2:49:33 PM ::1 Returned 404 in 3 ms
 HTTP  4/9/2026 2:49:33 PM ::1 Returned 404 in 2 ms
 HTTP  4/9/2026 2:49:33 PM ::1 Returned 404 in 2 ms
 HTTP  4/9/2026 2:49:33 PM ::1 Returned 404 in 2 ms
 HTTP  4/9/2026 2:49:33 PM ::1 Returned 404 in 2 ms
 HTTP  4/9/2026 2:49:33 PM ::1 Returned 404 in 2 ms
 HTTP  4/9/2026 2:49:33 PM ::1 GET /scripts/log-window.js
 HTTP  4/9/2026 2:49:33 PM ::1 Returned 404 in 1 ms
 HTTP  4/9/2026 2:52:00 PM 127.0.0.1 GET /src/styles/style.css
 HTTP  4/9/2026 2:52:00 PM 127.0.0.1 GET /src/scenes/index.html
 HTTP  4/9/2026 2:52:00 PM 127.0.0.1 Returned 301 in 1 ms
 HTTP  4/9/2026 2:52:00 PM 127.0.0.1 Returned 200 in 1 ms
 HTTP  4/9/2026 2:52:00 PM 127.0.0.1 GET /src/scenes/index
 HTTP  4/9/2026 2:52:00 PM 127.0.0.1 Returned 301 in 1 ms
 HTTP  4/9/2026 2:52:00 PM 127.0.0.1 GET /src/scenes
 HTTP  4/9/2026 2:52:00 PM 127.0.0.1 Returned 200 in 0 ms
 HTTP  4/9/2026 3:12:17 PM 127.0.0.1 GET /src/scenes/index.html
 HTTP  4/9/2026 3:12:17 PM 127.0.0.1 Returned 301 in 0 ms
 HTTP  4/9/2026 3:12:17 PM 127.0.0.1 GET /src/scenes/index
 HTTP  4/9/2026 3:12:17 PM 127.0.0.1 Returned 301 in 0 ms
 HTTP  4/9/2026 3:12:17 PM 127.0.0.1 GET /src/scenes
 HTTP  4/9/2026 3:12:17 PM 127.0.0.1 Returned 200 in 1 ms
 HTTP  4/9/2026 4:35:12 PM ::1 GET /src/scenes
 HTTP  4/9/2026 4:35:12 PM ::1 Returned 200 in 1 ms
 HTTP  4/9/2026 4:35:12 PM ::1 GET /src/styles/style.css
 HTTP  4/9/2026 4:35:12 PM ::1 Returned 304 in 1 ms
 HTTP  4/9/2026 4:35:12 PM ::1 GET /src/lib/world-data.js
 HTTP  4/9/2026 4:35:12 PM ::1 GET /src/modules/phaser-chaos-module.js
 HTTP  4/9/2026 4:35:12 PM ::1 GET /src/scripts/game.js
 HTTP  4/9/2026 4:35:12 PM ::1 GET /src/modules/runtime-bridge.js
